多语言,亚洲最长语言,亚洲最长,其他最长语言,其他最长
第149章宠物礼包,日语,ステージ149のペットパック,阿拉伯语,حزمة الحيوانات الأليفة للمرحلة 149
魔法协会在此设立的临时据点，可以在此处更换已学习的魔法,韩语,습득한 주문을 변경할 수 있는 마법 협회의 임시 거점,意大利语,"Un punto di raccolta provvisorio per l'Associazione di magia, dove gli incantesimi appresi possono essere modificati"
装备,繁体中文,裝備,意大利语,Equipaggia
任意宝物等级达到10级,日语,任意の宝物がレベル10になる,法语,N'importe quel Artefact au niv. 10
赤龙剑碎片,日语,エンバーウィングの大剣のカケラ,西班牙语（西班牙）,Fragmento de espada Ala de ascua
魔法球,韩语,매직 오브,阿拉伯语,الجرم السماوي السحري
幻影宝珠碎片,日语,ファントムオーブのカケラ,德语,Trugbildreiche Perle (Scherbe)
该礼包中包含{0}个幸运指针,韩语,이 패키지에는 럭키 스피너 {0}개가 포함되어 있습니다,意大利语,Questo pacchetto contiene {0} Ago/hi della fortuna
可传送至1层,韩语,1층으로 순간이동,德语,Teleportiere dich zu Etage 1
通关主线第149章,韩语,스테이지 149 클리어하기,西班牙语（西班牙）,Has completado la fase 149.
此处被一些实力普通的敌人所占据。击败他们才能通过此处,韩语,이 곳은 실력이 보통인 적들이 점령하고 있습니다. 그들을 물리치고 통과하세요,德语,"Wird von durchschnittlich starken Feinden besetzt. Besiege sie, um durchzukommen."
完整的A级宝物,韩语,완전한 A급 보물,俄语,Нетронутый артефакт класса А
幸运指针,日语,ラッキースピナー,西班牙语（西班牙）,Ruleta de la suerte
来自地狱深处的镰刀,韩语,지옥의 심연에서 생성된 낫,西班牙语（西班牙）,Una guadaña nacida en las profundidades del infierno.
蕴含强大生命力的泉水，饮下泉水可以提高生命上限,韩语,강력한 생명력이 깃든 이 물을 마시면 캐릭터의 최대 HP가 증가합니다,德语,"Diese Quelle gewährt eine starke Lebenskraft. Trink davon, um die Max. GP deines Charakters zu erhöhen."
购买幸运指针,日语,ラッキースピナーを購入,法语,Acheter un Lanceur de la chance
通关主线第144章,韩语,스테이지 144 클리어하기,西班牙语（西班牙）,Has completado la fase 144.
获得阿波罗之弓概率提升,日语,アポロの弓を入手する確率がアップ,西班牙语（西班牙）,Aumento de frecuencia de Arco de Apolo
第159章宠物礼包,日语,ステージ159のペットパック,阿拉伯语,حزمة الحيوانات الأليفة للمرحلة 159
阿波罗宝物箱详情,韩语,아폴로의 보물 핀박스 정보,土耳其语,Apollo'nun Sandığı Ayrıntıları
封印着绿色巨龙灵魂的巨盾,韩语,그린 드래곤의 영혼이 봉인된 거대한 방패,越南语,Một tấm khiên khổng lồ bị phong ấn bằng linh hồn của một con rồng xanh
冰湖雪原,韩语,빙하 툰드라,越南语,Đài Nguyên Băng Giá
砰砰法师1周年,韩语,핀볼도사 1주년,阿拉伯语,الذكرى السنوية الأولى للعبة PunBall
阿波罗之弓碎片,韩语,아폴로의 활 조각,意大利语,Frammento di Arco di Apollo
1周年上篇,韩语,1주년 1주차,阿拉伯语,الأسبوع 1 من الذكرى السنوية الأولى
地图说明,日语,地図の説明,西班牙语（西班牙）,Información de mapa
中级怪物营地,韩语,강력한 몬스터 캠프,西班牙语（西班牙）,Campamento de monstruos fuertes
{0}后通往下一层的传送门才会被激活,日语,次のレベルへのポータルが利用可能になるまで{0},德语,"Wird aktiviert, wenn du das Portal der nächsten Etage in {0} betrittst"
通关主线第159章,韩语,스테이지 159 클리어하기,西班牙语（西班牙）,Has completado la fase 159.
已达到最大等级,繁体中文,已達到最大等級,意大利语,Livello massimo
穿刺长矛的碎片，可以用来激活和升级穿刺长矛,韩语,랜스보어 창을 활성화하고 업그레이드하는 데 사용하는 랜스보어 창 조각,西班牙语（西班牙）,El fragmento de lanza Lanza de barrena se usa para activar y mejorar la lanza Lanza de barrena.
精灵长弓,日语,エルフの長弓,俄语,Эльфийский длинный лук
神圣晶石,韩语,신성 크리스탈,俄语,Божественный святой кристалл
能开出宝物碎片和完整宝物,韩语,보물 조각 및 완전한 보물 획득,法语,Obtenez des fragments d'Artefact et des Artefacts intacts
宝物碎片不足！,韩语,보물 조각이 부족합니다!,西班牙语（西班牙）,¡No hay suficientes fragmentos de artefacto!
中级遗迹宝箱,韩语,고급 유적 상자,西班牙语（西班牙）,Cofre de las ruinas refinado
包含了神秘魔法的小盒子，可以在盒子中技能选取一个特殊魔法,韩语,신비한 마법이 들어 있습니다. 이 상자에서 특별한 주문을 선택할 수 있습니다,越南语,Chứa đựng phép thuật huyền bí. Mỗi người có thể chọn một câu thần chú đặc biệt từ chiếc hộp này
寂静草原,韩语,고요한 초원,西班牙语（西班牙）,Llanuras silenciosas
战斗开始时可发射的普通球总数,日语,バトル開始する時に発射可能のノーマルボールの合計数,西班牙语（西班牙）,Total de bolas normales disparadas cuando comienza la batalla
五阶神圣祭坛,韩语,신성한 제단 V,泰语,แท่นบูชาศักดิ์สิทธิ์ V
龙牙项链碎片,日语,ドラゴンファングネックレスのカケラ,法语,Fragment de Collier de crocs de dragon
砰砰法师1周年\n嘉年华上篇,日语,ポンボール1周年\nカーニバル　前半,意大利语,Primo Anniversario di PunBall\nSettimana 1 della Fiera
用来升级神圣祭坛的材料,韩语,신성한 제단을 업그레이드하는 데 사용합니다,德语,Damit kann ein Heiliger Altar aufgewertet werden.
神圣祭坛达到四阶,韩语,신성한 제단 IV 도달,越南语,Đạt Điện Thờ Thiêng Liêng Cấp IV
极光溶洞,韩语,오로라 카르스트,越南语,Hang Động Cực Quang
生命圣杯,韩语,생명의 성배,德语,Hl. Gral des Lebens
通关主线第147章,韩语,스테이지 147 클리어하기,西班牙语（西班牙）,Has completado la fase 147.
上篇,韩语,1주차,意大利语,Settimana 1
任意宝物等级达到30级,日语,任意の宝物がレベル30になる,法语,N'importe quel Artefact au niv. 30
通关主线第146章,韩语,스테이지 146 클리어하기,西班牙语（西班牙）,Has completado la fase 146.
神圣祭坛达到六阶,韩语,신성한 제단 VI 도달,越南语,Đạt Điện Thờ Thiêng Liêng Cấp VI
蓝晶雪原,韩语,사파이어 툰드라,越南语,Đài Nguyên Xa Phia
龙牙项链的碎片，可以用来激活和升级龙牙项链,日语,ドラゴンファングネックレスのカケラ。ドラゴンファングネックレスのアクティブ化やアップグレードに使用できる,法语,Fragment de Collier de crocs de dragon utilisé pour activer et améliorer le Collier de crocs de dragon
魔法盒子,韩语,매직 박스,俄语,Волшебная шкатулка
神圣祭坛,韩语,신성한 제단,泰语,แท่นบูชาศักดิ์สิทธิ์
遗落在特洛伊古战场上的号角,韩语,고대 트로이 전쟁터에 버려진 전쟁 나팔,德语,"Dieses Kriegshorn wurde auf einem alten, trojanischen Schlachtfeld zurückgelassen."
升级,日语,アップグレード,西班牙语（西班牙）,Actualizar
抽中全部限定奖品，即可获得轮盘中全部奖品,韩语,모든 한정 보상을 뽑고 룰렛에 있는 모든 보상을 획득하세요,德语,"Gewinne alle limitierten Belohnungen, um alle Preise am Glücksrad zu erlangen."
远古丛林,韩语,고대의 숲,葡萄牙（巴西）,Floresta Milenar
吞噬沙漠,日语,呑み込むの砂漠,德语,Verschlingende Wüste
魔法小屋,韩语,매직 로지,葡萄牙（巴西）,Alojamento Mágico
现已开启,韩语,지금 오픈,法语,Maintenant ouvert
