多语言,亚洲最长语言,亚洲最长,其他最长语言,其他最长
激光横扫,韩语,레이저 스윕,葡萄牙（巴西）,VARREDURA LASER
可以打开冰系宠物魔法蛋的锤子,日语,氷のポンエッグを叩いて開けることができるハンマー,印尼语,Martil yang dapat menghancurkan dan membuka PunEgg Es
取消,日语,キャンセル,德语,Abbrechen
传说靴子晶石,日语,レジェンダリー靴の魔晶石,法语,Longe de chaussures légendaires
随机获得一个A级稀有宠物,日语,ランダムに選択されたAグレードのレアペットを1匹ゲットしよう,俄语,Получите 1 случайного редкого питомца класса A
等级{0},韩语,레벨 {0},阿拉伯语,المستوى {0}
随机稀有武器,日语,ランダムレアの武器,德语,Zufällige Seltene Waffe
卡组未满，是否使用现有的卡组开始扫荡,韩语,카드 데크가 가득 차 있지 않았습니다. 현재 카드를 사용하여 소탕을 시작하시겠습니까?,法语,L'ensemble n'est pas complet. Utiliser les cartes actuelles pour commencer le Blitz ?
影分身,韩语,섀도우 클론,印尼语,KLONA BAYANGAN
史诗衣服晶石,日语,エピック衣服の魔晶石,越南语,Tiết Kiệm Áo Choàng Cực Phẩm
近战怪物（含首领）造成的伤害额外减少<color=#00FF00>20%</color>,韩语,근접 몬스터가 (보스 포함) 입히는 데미지 추가 <color=#00FF00>20%</color> 감소,西班牙语（西班牙）,El daño infligido de los monstruos a corta distancia (monstruos incluidos) se reducen un <color=#00FF00>20%</color> más.
请选择一个首领进行挑战,韩语,도전할 보스를 선택하세요,德语,"Wähle einen Boss aus, um ihn herauszufordern."
血量上限提升{0}%,韩语,최대 HP {0}% 증가,阿拉伯语,تمت زيادة نقاط الصحة القصوى بنسبة {0}%
随机S级传说宠物,日语,ランダムSグレードのレジェンダリーのペット,法语,Familier légendaire de qualité S aléatoire
复活节嘉年华的收集物，可以用来兑换奖品,韩语,보상을 교환하는 데 사용되는 부활절 파티 수집 아이템입니다,德语,"Gegenstand, der beim Karneval am Ostertag gesammelt und gegen Preise eingetauscht werden kann."
复活节派对,日语,イースターパーティー,俄语,Пасхальная вечеринка
22情人节头像框,日语,2022年バレンタインデーフレーム,越南语,Khung Lễ Tình Nhân 22 phiên bản giới hạn
飞弹精通,日语,ミサイルマスター,法语,MAÎTRE DES MISSILES
增强装备,韩语,장비 강화,意大利语,Rafforza l'equipaggiamento
随机获得一件史诗戒指,日语,ランダムに選択されたエピックの指輪を1つゲットしよう,俄语,Получите 1 случайное кольцо эпического качества
<color=#ff0000>携带上限：{0}</color>,韩语,<color=#ff0000>최대 카드 수: {0}</color>,阿拉伯语,<color=#ff0000>الحد الأقصى للبطاقات: {0}</color>
荣耀护腕晶石,韩语,영예 팔보호구 크리스탈,阿拉伯语,مناوشة الواقيات الداعمة الشرفيّة
已通关,日语,フロアをクリアしました,德语,Ebene abgeschlossen
所有冰霜伤害提升{0}%,日语,すべての氷ダメージが{0}%増加する,法语,Tous les dégâts de glace ont été augmentés de {0} %
虎虎生威,韩语,호랑이 분노,越南语,Cơn Giận Dữ của Hổ
回血量提升{0}%,日语,HP回復量が{0}%増加する,法语,Récupération des points de vie augmentée de {0} %
蜡烛不足,日语,キャンドルが足りません,西班牙语（西班牙）,No tienes suficientes velas
所有攻击伤害提升{0}%,韩语,모든 공격 데미지 {0}% 증가,法语,Tous les dégâts d'attaque sont augmentés de {0} %
扫荡,日语,スキップ,西班牙语（西班牙）,Guerra relámpago
挑战试炼之塔内首领获得\n宝箱和试炼硬币,韩语,시련의 탑에서 보스를 도전하여 보물 상자와 시련 코인을 획득하세요,法语,Affrontez le boss de la Tour des épreuves pour obtenir des coffres au trésor et des Pièces d'épreuve
随机优秀护腕,日语,ランダムグッドのブレーサー,西班牙语（西班牙）,Brazaletes buenos aleatorios
获得<color=#ebbbff><b>永恒+4</b></color>装备,日语,<color=#ebbbff><b>エターナル+4</b></color>装備をゲット,德语,Erhalte einen Ausrüstungsgegenstand <color=#ebbbff>Ewig +4</color>
"所有冰霜伤害提升{0}%,冰冻概率提升",韩语,모든 얼음 데미지가 {0}% 증가되며 동결 확률도 증가됩니다,法语,Tous les dégâts de glace ont été augmentés de {0} %. Augmentation des chances de gel
未解锁,繁体中文,未解鎖,法语,Verrouillé
放弃,韩语,건너뛰기,德语,ÜBERSPRINGEN
虎头虎脑,韩语,씩씩한 호랑이,意大利语,Orgoglio della tigre
无敌罩,韩语,무적 커버,法语,COUVERTURE INVINCIBLE
所有飞弹伤害提升{0}%,日语,すべてのミサイルダメージが{0}%増加する,法语,Les dégâts des missiles ont été augmentés de {0} %.
随机优秀靴子,日语,ランダムグッドの靴,法语,Chaussures bonnes aléatoires
雷电精通,韩语,번개 마스터,法语,MAÎTRE DE LA FOUDRE
是否使用现有的卡组开始扫荡,韩语,현재 카드를 사용하여 소탕을 시작하시겠습니까?,越南语,Có dùng các thẻ hiện tại để bắt đầu Đánh Chớp Nhoáng không?
追魂夺魄,日语,ミサイルチェーサー,意大利语,CACCIATORE DI MISSILI
横激光球,韩语,가로 레이저 볼,阿拉伯语,كرة الليزر الأفقي
特殊球攻击提升,韩语,스페셜 볼 공격 증가,德语,ANGRIFFSVERSTÄRKUNG (SPEZIALKUGELN)
增强卡组,日语,カードの強化,泰语,เสริมความแข็งแกร่งการ์ด
在装备合成时可替代任意荣耀帽子的神秘材料,韩语,장비 융합 시 아무 영예 모자를 대체하는 데 사용됩니다,法语,Peut remplacer n'importe quel chapeau d'honneur pendant la fusion des équipements
蓄力中怪物不发动攻击的概率额外增加<color=#00FF00>10%</color>,韩语,돌진 중 몬스터들이 공격하지 않을 확률 <color=#00FF00>10%</color> 증가,德语,"Die Wahrscheinlichkeit, dass Monster nicht angreifen, ist um <color=#00FF00>10%</color> erhöht."
商品已售罄,日语,アイテムは売り切れです！,西班牙语（西班牙）,¡El objeto se ha agotado!
本回合雅典娜护盾未被击碎，下回合攻击力增加<color=#00FF00>20%</color>,韩语,이번 라운드에 아테나 방패가 부서지지 않으면 다음 라운드에 공격이 <color=#00FF00>20%</color> 증가됩니다,德语,"Wenn Athenas Schild in dieser Runde nicht zerbricht, werden in der folgenden Runde <color=#00FF00>20%</color> zusätzliche Angriffskraft gewährt."
复活节,日语,イースター,法语,JOUR DE PÂQUES
狙击球,日语,スナイパーボール,西班牙语（西班牙）,BOLA DE FRANCOTIRADOR
获得{0}个冰冻球,日语,アイスボールを{0}個ゲットする,俄语,Получите замораживающие шары: {0}
首领狂暴！,韩语,보스 분노!,越南语,Cơn Thịnh Nộ Của Trùm!
雷霆万钧,繁体中文,雷霆萬鈞,俄语,ГРОМ И МОЛНИЯ
2022年春节限定头像,韩语,2022년 봄축제 한정 아바타,越南语,Ảnh đại diện Tết Nguyên Đán 2022 phiên bản giới hạn
随机A级史诗火系宠物,日语,ランダムAグレードのエピックペット,俄语,Случайный эпический огненный питомец класса А
装备降品,日语,グレード ダウン,法语,Grade inférieur
2022年情人节限定头像框,日语,2022年バレンタインデー限定フレーム,俄语,Коллекционная рамка ко Дню св. Валентина 2022
解锁,日语,アンロック,法语,Déverrouiller
购买挑战次数,韩语,도전 횟수 구매,德语,Herausforderungsversuche kaufen
复活节\n嘉年华,日语,イースター\nカーニバル,法语,CARNAVAL DU\nJOUR DE PÂQUES
虚空飞弹,韩语,허공 미사일,葡萄牙（巴西）,MÍSSEIS DO VAZIO
特殊球造成的连击数增加{0},韩语,스페셜 볼이 생성하는 콤보 수 {0} 증가,法语,Le nombre de combinaisons de balles spéciales a été augmenté de {0}
事半,韩语,적은 것이 더 많다,俄语,МЕНЬШЕ ЗНАЧИТ БОЛЬШЕ
可以用来快速扫荡主线的卷轴,日语,ステージバトルを速やかにコンプリートするために使用できる,印尼语,Digunakan untuk menuntaskan pertempuran stage dengan cepat
随机获得一件优秀靴子,日语,ランダムに選択されたグッドの靴を1つゲットしよう,俄语,Получите 1 случайную пару обуви хорошего качества
商店补货,繁体中文,商店補貨,阿拉伯语,إعادة تزويد السلع
是否花费试炼硬币购买商品？,日语,試練コインを使用してアイテムを購入しますか？,意大利语,Utilizzare Monete della prova per acquistare oggetti?
装备是最低等级无法降级,韩语,장비가 이미 최저 레벨입니다,德语,Ausrüstung ist bereits auf niedrigstem Level
<b>永恒 + 1</b>,韩语,<b>이터널 + 1</b>,越南语,Vĩnh Hằng + 1
史诗帽子晶石,韩语,에픽 모자 크리스탈,俄语,Кристалл эпического головного убора
卡牌选择,日语,カードを選択,法语,Sélectionner une carte
选择扫荡卡牌,日语,スキップに使うカードを選択,西班牙语（西班牙）,Elegir cartas de Guerra relámpago
所有特殊球伤害增加{0}%,日语,スペシャルボールのダメージが{0}%増加する,法语,Tous les dégâts de la balle spéciale ont été augmentés de {0} %
本轮卡组,韩语,이번 라운드 카드,意大利语,Le carte di questo turno
降级,日语,レベル ダウン,法语,Niveau inférieur
首领侧面受到伤害增加<color=#00FF00>15%</color>,日语,ボスの両側面で受けるダメージが更に<color=#00FF00>15%</color>増える,德语,Der von Bossen an den Seiten erlittene Schaden wird um <color=#00FF00>15%</color> erhöht.
放弃本轮,繁体中文,放棄本輪,印尼语,Berhenti
荣耀靴子晶石,韩语,영예 신발 크리스탈,法语,Longe  de chaussures d'honneur
随机获得一件史诗靴子,日语,ランダムに選択されたエピックの靴を1つゲットしよう,俄语,Получите 1 случайную пару обуви эпического качества
角色血量大于<color=#00FF00>80%</color>时，即可增加特殊球伤害,日语,キャラクターのHPが<color=#00FF00>80%</color>を上回ると、スペシャルボールダメージが増える,法语,"Lorsque vos PV sont supérieurs à <color=#00FF00>80 %</color>, les dégâts spéciaux de la balle sont augmentés"
获得<color=#ebbbff><b>永恒+1</b></color>装备,日语,<color=#ebbbff><b>エターナル+1</b></color>装備をゲット,德语,Erhalte einen Ausrüstungsgegenstand <color=#ebbbff>Ewig +1</color>
随机获得一件优秀武器,日语,ランダムに選択されたグッドの武器を1つゲットしよう,俄语,Получите 1 случайный предмет оружия хорошего качества
随机史诗武器,日语,ランダムエピックの装備,越南语,Vũ Khí Cực Phẩm ngẫu nhiên
S1赛季星耀头像框,日语,S1ステラ―フレーム,俄语,Звездная рамка класса S1
分裂球,韩语,스플릿 볼,俄语,РАССЫПАЮЩИЙСЯ ШАР
随机史诗靴子,日语,ランダムエピックの靴,法语,Chaussures épiques aléatoires
获得{0}个竖激光球,日语,縦レーザーボールを{0}個ゲットする,意大利语,Ottieni {0} biglia/e Laser verticale
随机获得一件优秀装备,日语,ランダムに選択されたグッドの装備を1つゲットしよう,俄语,Получите 1 случайный предмет снаряжения хорошего качества
随机获得一件稀有装备,日语,ランダムに選択されたレアの装備を1つゲットしよう,俄语,Получите 1 случайный предмет снаряжения редкого качества
购买次数已达上限,日语,購入回数の上限に達しました,意大利语,Numero massimo di tentativi di acquisto raggiunto
每回合第一个球伤害{0}倍,韩语,각 라운드의 첫 볼은 {0}배의 데미지를 입힙니다,德语,Die erste Kugel in jeder Runde verursacht {0}-fachen Schaden.
激光精通,日语,レーザーマスター,俄语,ПОВЕЛИТЕЛЬ ЛАЗЕРОВ
每回合最后一个球伤害{0}倍,韩语,각 라운드의 마지막 볼은 {0}배의 데미지를 입힙니다,德语,Die letzte Kugel in jeder Runde verursacht {0}-fachen Schaden.
S1赛季钻石头像框,日语,S1ダイヤモンドフレーム,俄语,Бриллиантовая рамка класса S1
强化材料,韩语,강화 재료,葡萄牙（巴西）,Materiais de Aprimoramento
火焰精通,韩语,화염 마스터,葡萄牙（巴西）,MESTRE DAS CHAMAS
失败,繁体中文,失敗,阿拉伯语,تعرضت للهزيمة
在装备合成时可替代任意荣耀衣服的神秘材料,韩语,장비 융합 시 아무 영예 옷를 대체하는 데 사용됩니다,越南语,Có thể thay thế bất kỳ Áo Choàng Danh Dự nào trong suốt quá trình dung hợp trang bị
风筝节,日语,凧あげ祭り,阿拉伯语,الاحتفال بالطائرات الورقية
选择,繁体中文,選擇,法语,Sélectionner
进入试炼,繁体中文,進入試煉,西班牙语（西班牙）,Introducir
击败导弹,韩语,데스 미사일,意大利语,MISSILE DELLA MORTE
随机A级优秀宠物,日语,ランダムAグレードのグッドペット,俄语,Случайный хороший питомец класса А
冰霜精通,韩语,얼음 마스터,意大利语,MAESTRO DEL GHIACCIO
随机优秀武器,日语,ランダムグッドの武器,俄语,Случайное хорошее оружие
随机普通装备,日语,ランダムノーマルの装備,意大利语,Equipaggiamento normale casuale
所有普通球伤害增加{0}%,日语,ノーマルボールのダメージが{0}%増加する,法语,Tous les dégâts de balle normale ont été augmentés de {0} %
背包,日语,かばん,阿拉伯语,الحقيبة
对生命值低于<color=#00FF00>50%</color>的怪物伤害增加<color=#00FF00>20%</color>,韩语,HP가 <color=#00FF00>50%</color> 이하인 몬스터에게 입히는 데미지 <color=#00FF00>20%</color> 증가,法语,Les dégâts infligés aux monstres ayant moins de <color=#00FF00>50 %</color> de PV sont augmentés de <color=#00FF00>20 %</color>
随机获得一件神级传说装备,日语,ランダムに選択されたレジェンダリーの遺物のアイテムを1つゲットしよう,意大利语,Ottieni 1 oggetto equipaggiamento leggendario Reliquia casuale
哈迪斯的灵魂冲击对怪物造成伤害时，会直接秒杀血量低于<color=#00FF00>10%</color>的怪物,日语,ハーデースのスピリットチャージは、ダメージを与える際、HPが<color=#00FF00>10%</color>以下のモンスターをインスタントキルする。,意大利语,La Carica spirituale dell'Ade uccide istantaneamente i mostri con meno del <color=#00FF00>10%</color> di PV nel momento in cui viene inflitto il danno
每{0}回合无敌{1}回合,韩语,{0}라운드마다 {1}라운드 동안 무적 됩니다,德语,Alle {0} Runde(n) wird für {1} Runde(n) lang Unverwundbarkeit gewährt.
获得<color=#ebbbff><b>永恒+5</b></color>装备,日语,<color=#ebbbff><b>エターナル+5</b></color>装備をゲット,德语,Erhalte einen Ausrüstungsgegenstand <color=#ebbbff>Ewig +5</color>
击败雷击,日语,デスサンダー,意大利语,FULMINE DELLA MORTE
导弹球,日语,ミサイルボール,法语,BALLE DE MISSILE
冲锋陷阵,繁体中文,衝鋒陷陣,越南语,XÔNG PHA CHIẾN ĐẤU
获得{0}个分裂球,日语,分裂ボールを{0}個ゲットする,葡萄牙（巴西）,Obtenha {0} bola(s) Divisível(is)
在装备合成时可替代任意史诗护腕的神秘材料,韩语,장비 융합 시 아무 에픽 팔보호구를 대체하는 데 사용됩니다,越南语,Có thể thay thế bất kỳ Băng Tay Cực Phẩm nào trong suốt quá trình dung hợp trang bị
随机获得一件稀有靴子,日语,ランダムに選択されたレアの靴を1つゲットしよう,俄语,Получите 1 случайную пару обуви редкого качества
反伤尖刺杀死的怪物会为角色恢复最大生命值<color=#00FF00>10%</color>的血量,日语,ダメージを反射するトゲによってキルされたモンスターは、最大HPの<color=#00FF00>10%</color>を復元する,德语,"Wenn Monster durch schadensreflektierende Stacheln sterben, werden <color=#00FF00>10%</color> der Max. GP wiederhergestellt."
随机优秀戒指,日语,ランダムグッドの指輪,俄语,Случайное хорошее кольцо
角色血量少于<color=#00FF00>20%</color>时，攻击力额外增加<color=#00FF00>20%</color>,日语,キャラクターのHPが<color=#00FF00>20%</color>を下回ると、攻撃が追加で<color=#00FF00>20%</color>増える,德语,"Wenn deine GP unter <color=#00FF00>20%</color> liegen, werden <color=#00FF00>20%</color> zusätzliche Angriffskraft gewährt."
爆裂天罚,韩语,콤보 폭탄,阿拉伯语,ضربات القنابل المتتالية
随机A级史诗森系宠物,日语,ランダムAグレードのエピックの森のペット,法语,Familier de la jungle épique de grade A aléatoire
流星的范围增大到<color=#00FF00>4*4</color>,韩语,메테오 범위 <color=#00FF00>4*4</color>로 증가,意大利语,Il raggio d'azione di Meteora è aumentato a <color=#00FF00>4*4</color>
获得<color=#ebbbff><b>永恒</b></color>装备,日语,<color=#ebbbff><b>エターナル</b></color>装備をゲット,德语,Erhalte einen Ausrüstungsgegenstand <color=#ebbbff>Ewig</color>
背包中没有物品,日语,かばん内にアイテムがありません,德语,Keine Gegenstände in der Tasche
荣耀衣服晶石,韩语,영예 옷 크리스탈,越南语,Tiết Kiệm Áo Choàng Danh Dự
<b>永恒 + 3</b>,韩语,<b>이터널 + 3</b>,越南语,Vĩnh Hằng + 3
传说帽子晶石,日语,レジェンダリー帽子の魔晶石,俄语,Кристалл легендарного головного убора
击败激光,韩语,데스 레이저,意大利语,LASER DELLA MORTE
第{0}层,日语,フロア{0},阿拉伯语,الطابق {0}
在装备合成时可替代任意传说靴子的神秘材料,韩语,장비 융합 시 아무 레전드 신발을 대체하는 데 사용됩니다,法语,Peut remplacer n'importe quelle chaussure légendaire lors de la fusion d'équipements
S1赛季铂金头像框,韩语,S1 플래티넘 액자,俄语,Платиновая рамка класса S1
开始扫荡,繁体中文,開始掃蕩,西班牙语（西班牙）,Guerra relámpago
随机获得一个A级史诗火系宠物,日语,ランダムに選択されたAグレードのエピックの炎のペットを1匹ゲットしよう,俄语,Получите 1 случайного эпического огненного питомца класса A
在装备合成时可替代任意史诗衣服的神秘材料,韩语,장비 융합 시 아무 에픽 옷를 대체하는 데 사용됩니다,越南语,Có thể thay thế bất kỳ Áo Choàng Cực Phẩm nào trong suốt quá trình dung hợp trang bị
随机S级史诗雷系宠物,日语,ランダムSグレードのエピックの雷のペット,法语,Familier de tonnerre épique de grade S aléatoire
随机优秀帽子,日语,ランダムグッドの帽子,俄语,Случайный хороший головной убор
是否花费钻石购买挑战次数？,韩语,보석을 사용하여 도전 횟수를 구매하시겠습니까?,德语,"Edelsteine einsetzen, um Herausforderungsversuche zu kaufen?"
开始扫荡,繁体中文,開始掃蕩,西班牙语（西班牙）,Guerra relámpago
移除,简体中文,移除,法语,Supprimer
荣耀戒指晶石,韩语,영예 반지 크리스탈,意大利语,Barite dell'Anello d'onore
随机史诗帽子,日语,ランダムエピックの帽子,俄语,Случайный эпический головной убор
随机稀有衣服,日语,ランダムレアの衣服,俄语,Случайный редкий предмет одежды
所有激光伤害提升{0}%，所有激光变成十字激光,韩语,모든 레이저 데미지가 {0}% 증가되며 레이저가 4방향으로 발사됩니다,法语,Tous les dégâts de laser ont été augmentés de {0} %. Les lasers se déclenchent dans 4 directions
可以打开森系宠物魔法蛋的锤子,日语,森のポンエッグを叩いて開けることができるハンマー,印尼语,Martil yang dapat menghancurkan dan membuka PunEgg Rimba
炸弹球,日语,爆弾ボール,法语,BALLE DE BOMBE
获得{0}个背刺球,日语,暗殺ボールを{0}個ゲットする,法语,Obtenir {0} balle(s) par derrière
随机史诗戒指,日语,ランダムエピックの指輪,俄语,Случайное эпическое кольцо
随机获得一件稀有武器,日语,ランダムに選択されたレアの武器を1つゲットしよう,俄语,Получите 1 случайное оружия редкого качества
Combo技能触发数减少{0}%,日语,コンボスキルを発動するためのコンボ数が{0}%減少する,西班牙语（西班牙）,El recuento de activación de habilidad de combo se reduce en un {0}%.
角色血量低于<color=#00FF00>30%</color>时，远程怪物（不含首领）命中率额外减少<color=#00FF00>20%</color>,韩语,HP가 <color=#00FF00>30%</color> 이하 시 원거리 몬스터의 (보스 미포함) 적중 확률 추가 <color=#00FF00>20%</color> 감소,西班牙语（西班牙）,"Cuando tus PS son inferiores al <color=#00FF00>30%</color>, la frecuencia de impacto de los monstruos a larga distancia (excepto los jefes) se reducen un <color=#00FF00>20%</color> adicional."
角色血量小于<color=#00FF00>50%</color>时，即可获得减伤,日语,キャラクターのHPが<color=#00FF00>50%</color>を下回る場合、受けるダメージが減少する,德语,"Wenn deine GP unter <color=#00FF00>50%</color> liegen, wird eine Schadensverringerung gewährt."
